Source,Target,Weight,Type,origine,servizi
comuni_agg,r_lazio,2,Directed,ricostruita,"Pratiche SUAP; Protocollo Informatico"
comuni_agg,r_campania,1,Directed,ricostruita,Pratiche SUAP
comuni_agg,ade,3,Directed,ricostruita,"Numerazione Civica / Stradario; Servizi Demografici; Tributi e Posizioni Debitorie"
comuni_agg,istat,3,Directed,ricostruita,"Numerazione Civica / Stradario; Servizi Demografici; Dati Sensori IoT"
comuni_agg,min_interno,2,Directed,ricostruita,"Numerazione Civica / Stradario; Servizi Demografici"
comuni_agg,anac,1,Directed,ricostruita,Amministrazione Trasparente
comuni_agg,ade_riscossione,1,Directed,ricostruita,Tributi e Posizioni Debitorie
comuni_agg,mef,1,Directed,ricostruita,Tributi e Posizioni Debitorie
c_bologna,ade,1,Directed,ricostruita,Ricerca Edifici (catasto CT)
c_bologna,r_lombardia,1,Directed,ricostruita,Ricerca Edifici (catasto CT)
c_bologna,istat,1,Directed,ricostruita,Ricerca Edifici (catasto CT)
c_bologna,anac,1,Directed,ricostruita,Ricerca Gare e Appalti
c_bologna,mef,1,Directed,ricostruita,Ricerca Gare e Appalti
c_genova,agid,1,Directed,ricostruita,Protocollo – Conferma Protocollazione
c_genova,comuni_agg,1,Directed,ricostruita,Protocollo – Conferma Protocollazione
c_genova,r_lombardia,1,Directed,ricostruita,Protocollo – Conferma Protocollazione
c_padova,istat,1,Directed,ricostruita,Dati Statistici Cimiteri
c_padova,r_lombardia,1,Directed,ricostruita,Dati Statistici Cimiteri
mlps,inps,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,comuni_agg,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_lombardia,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_lazio,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_campania,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_sicilia,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_emilia,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_piemonte,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_veneto,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_toscana,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_puglia,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,r_liguria,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mlps,istat,1,Directed,ricostruita,Servizi Lavoro e Politiche Sociali
mit,mit_dgmot,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
mit,comuni_agg,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
mit,r_lombardia,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
mit,r_lazio,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
mit,r_campania,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
mit,r_emilia,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
mit,istat,1,Directed,ricostruita,Servizi Infrastrutture e Trasporti
dfp,mef,1,Directed,ricostruita,Funzione Pubblica – Anagrafe Prestazioni
dfp,inps,1,Directed,ricostruita,Funzione Pubblica – Anagrafe Prestazioni
dfp,comuni_agg,1,Directed,ricostruita,Funzione Pubblica – Anagrafe Prestazioni
dfp,istat,1,Directed,ricostruita,Funzione Pubblica – Anagrafe Prestazioni
ag_demanio,mef,1,Directed,ricostruita,Demanio – Patrimonio Pubblico
ag_demanio,ade,1,Directed,ricostruita,Demanio – Patrimonio Pubblico
ag_demanio,comuni_agg,1,Directed,ricostruita,Demanio – Patrimonio Pubblico
ag_demanio,r_lombardia,1,Directed,ricostruita,Demanio – Patrimonio Pubblico
r_lombardia,comuni_agg,1,Directed,ricostruita,Servizi Regione Lombardia
r_lombardia,c_milano,1,Directed,ricostruita,Servizi Regione Lombardia
r_lombardia,mlps,1,Directed,ricostruita,Servizi Regione Lombardia
r_lombardia,inps,1,Directed,ricostruita,Servizi Regione Lombardia
r_lombardia,istat,1,Directed,ricostruita,Servizi Regione Lombardia
r_lazio,comuni_agg,1,Directed,ricostruita,Servizi Regione Lazio
r_lazio,c_roma,1,Directed,ricostruita,Servizi Regione Lazio
r_lazio,mlps,1,Directed,ricostruita,Servizi Regione Lazio
r_lazio,inps,1,Directed,ricostruita,Servizi Regione Lazio
r_lazio,istat,1,Directed,ricostruita,Servizi Regione Lazio
r_campania,comuni_agg,1,Directed,ricostruita,Servizi Regione Campania
r_campania,c_napoli,1,Directed,ricostruita,Servizi Regione Campania
r_campania,mlps,1,Directed,ricostruita,Servizi Regione Campania
r_campania,inps,1,Directed,ricostruita,Servizi Regione Campania
r_campania,istat,1,Directed,ricostruita,Servizi Regione Campania
r_liguria,comuni_agg,1,Directed,ricostruita,Servizi Regione Liguria
r_liguria,c_genova,1,Directed,ricostruita,Servizi Regione Liguria
r_liguria,mlps,1,Directed,ricostruita,Servizi Regione Liguria
r_liguria,inps,1,Directed,ricostruita,Servizi Regione Liguria
r_liguria,istat,1,Directed,ricostruita,Servizi Regione Liguria
r_toscana,comuni_agg,1,Directed,ricostruita,Servizi Regione Toscana
r_toscana,mlps,1,Directed,ricostruita,Servizi Regione Toscana
r_toscana,inps,1,Directed,ricostruita,Servizi Regione Toscana
r_toscana,istat,1,Directed,ricostruita,Servizi Regione Toscana
r_molise,comuni_agg,1,Directed,ricostruita,Servizi Regione Molise
r_molise,mlps,1,Directed,ricostruita,Servizi Regione Molise
r_molise,inps,1,Directed,ricostruita,Servizi Regione Molise
r_molise,istat,1,Directed,ricostruita,Servizi Regione Molise
r_puglia,comuni_agg,1,Directed,ricostruita,Servizi Regione Puglia
r_puglia,mlps,1,Directed,ricostruita,Servizi Regione Puglia
r_puglia,inps,1,Directed,ricostruita,Servizi Regione Puglia
r_puglia,istat,1,Directed,ricostruita,Servizi Regione Puglia
pa_trento,comuni_agg,1,Directed,ricostruita,Servizi Provincia Aut. Trento
pa_trento,mlps,1,Directed,ricostruita,Servizi Provincia Aut. Trento
pa_trento,inps,1,Directed,ricostruita,Servizi Provincia Aut. Trento
pa_trento,istat,1,Directed,ricostruita,Servizi Provincia Aut. Trento
r_abruzzo,comuni_agg,1,Directed,ricostruita,Servizi Regione Abruzzo
r_abruzzo,mlps,1,Directed,ricostruita,Servizi Regione Abruzzo
